GRASP V.7.11CD    Instrument:  ILL_d11 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  Acb75 73.1D 
Start: 11-Jul-16   20:44:43   End: 11-Jul-16   20:49:43 
  
Foreground: Sum 11361 , Loaded: 11361 
Background: Sum 11004 , Loaded: 11004 
Cadmium: Sum 11360 , Loaded: 11360 
Det: 1 : Applying Deadtime Correction per Detector: 1/[1-tau/detector_rate], tau = 0 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is In.  Attenuation factor 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator2: is Out 
Attenuator2: Up-scaling data by 1 
  
Beam Centre1 :  Cx = 128.2904  Cy = 129.2295       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.95753 +/- 0.0030718  Te = 0.94716 +/- 0.0024123 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.0056 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 3 1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0501672	4.80027	0.143335	0.00513819
0.0530885	4.24605	0.113522	0.00518411
0.056053	3.43296	0.0781455	0.00522106
0.0588968	3.32639	0.0654871	0.00525582
0.0616928	3.04661	0.0553811	0.00530958
0.0645101	2.8815	0.0502451	0.00535408
0.0673201	2.65549	0.0449294	0.00539117
0.0701162	2.6175	0.0435365	0.00544487
0.0728977	2.5228	0.0414386	0.00549828
0.0756976	2.41763	0.0393297	0.00554395
0.078535	2.32549	0.0377457	0.00559142
0.0813224	2.26207	0.0370742	0.0056541
0.0841138	2.16289	0.0350516	0.00570809
0.0869306	2.13438	0.0351453	0.0057554
0.0896901	2.08019	0.0342198	0.00581866
0.0924601	2.09895	0.0340138	0.00588055
0.0952521	2.0092	0.0324946	0.00593527
0.0980621	1.98669	0.0314736	0.00599219
0.100857	2.015	0.0320617	0.00606265
0.103651	1.97886	0.0309252	0.00612483
0.106476	1.95451	0.0305701	0.00618076
0.109275	1.94821	0.0303145	0.00625317
0.112053	1.94471	0.0296891	0.00632208
0.114827	1.92246	0.0296122	0.0063837
0.117624	1.93465	0.0291547	0.00644895
0.12041	1.90228	0.0287537	0.00652498
0.123211	1.89064	0.0280237	0.00659376
0.126012	1.89635	0.0281717	0.00665595
0.128789	1.87484	0.0273105	0.00673447
0.131591	1.91781	0.027624	0.0068095
0.134386	1.89592	0.0270347	0.00687747
0.137183	1.87702	0.0265882	0.00694985
0.140003	1.88987	0.0263735	0.00703129
0.142821	1.86806	0.0259129	0.00710543
0.145612	1.87984	0.0260315	0.00717263
0.148385	1.89306	0.0260263	0.00725699
0.151185	1.92475	0.0257427	0.00734898
