# sample_name: ludox_AM20
# config_id: config_10
# transmission: 0.551623
# source_nexus_file: sans-llb2026n001003.nxs
# q I I_error q_error
2.551383021386265451e-02 1.674845672861177093e+02 2.045983670573087210e+01 1.040858588288729597e-02
2.683450650879430632e-02 1.884059760283950311e+02 5.386888955408556257e+01 1.041601813216297412e-02
2.830949949683266020e-02 1.744729102786481008e+02 1.549062668559302658e+01 1.042477012244855811e-02
2.942583267360261018e-02 1.668996627321312758e+02 1.207139316490923520e+01 1.043171294055341217e-02
3.101728330525534844e-02 1.576689237588363426e+02 1.357734476049680161e+01 1.044203083233147776e-02
3.189264589185831361e-02 1.729380915343280378e+02 9.863173470422930578e+00 1.044795210499288585e-02
3.326904545913451222e-02 1.600184356105169456e+02 1.136519481318953240e+01 1.045758016697783885e-02
3.454047415383434960e-02 1.499527910110450932e+02 8.370751982811704295e+00 1.046681331837611903e-02
3.560703829809356430e-02 1.426372063905391485e+02 8.021766666609467578e+00 1.047481503728047054e-02
3.690802750010339917e-02 1.197030825568707399e+02 6.761103532381766534e+00 1.048491705884179240e-02
3.811983430998006767e-02 1.110433079138605876e+02 4.234119372353958077e+00 1.049462648366561793e-02
3.961825477298105969e-02 9.172045996914881982e+01 4.114085751045474915e+00 1.050706603247980597e-02
4.088704545693355036e-02 8.245842585158378313e+01 3.294202160194104945e+00 1.051795221992940683e-02
4.218509660026641128e-02 6.962911601610376522e+01 2.986906596990429819e+00 1.052944374258442221e-02
4.350718576058241333e-02 5.194517997375171348e+01 2.056922230037830701e+00 1.054150564062045041e-02
4.465237669049706981e-02 4.302139173168145447e+01 1.336811831876443701e+00 1.055223275327682279e-02
4.601003758216647838e-02 3.399317946969399173e+01 1.417654238594731497e+00 1.056530815371163612e-02
4.718494746016674291e-02 3.053405729652521572e+01 1.020354771533599436e+00 1.057691503271888933e-02
4.844204795117251772e-02 2.412525634966034715e+01 8.921668646660054769e-01 1.058965541647762312e-02
4.965994397654294873e-02 1.946291896233397267e+01 7.207630672291129859e-01 1.060229179577840304e-02
5.091708453733081313e-02 1.624772351107608515e+01 4.614824316205452526e-01 1.061565184395843638e-02
5.217203667739503392e-02 1.322912971788232461e+01 4.771225839800706248e-01 1.062930354548149992e-02
5.359293272525237489e-02 1.125433327931809302e+01 2.967971208426129492e-01 1.064513844097018762e-02
5.484875355024881188e-02 9.886624733241200502e+00 3.553059223193485994e-01 1.065947447797705241e-02
5.618389194607838200e-02 8.301186134822515328e+00 2.484830259027954458e-01 1.067505829934486256e-02
5.745175780645001701e-02 7.386020455082147329e+00 2.104728582661388459e-01 1.069017951635938511e-02
5.863995651874496368e-02 6.851956670656658588e+00 2.555595304371295340e-01 1.070463247004290082e-02
5.996032695059091283e-02 6.225509690005528007e+00 1.634077115034859584e-01 1.072102015651351520e-02
6.113129773678818019e-02 5.666490624256328879e+00 1.997048711444494862e-01 1.073584292180427939e-02
6.250656928658468448e-02 4.763201830747915366e+00 1.283320855199518162e-01 1.075358083470416559e-02
6.361249548189847058e-02 4.763379392555638248e+00 1.505200493090364522e-01 1.076810869594808755e-02
