# sample_name: ludox_SM30
# config_id: config_10
# transmission: 0.553142
# source_nexus_file: sans-llb2026n001004.nxs
# q I I_error q_error
2.598850327494491297e-01 8.388129692554876504e-01 1.801873378610448218e-02 1.359644370589178225e-02
2.621505188570182887e-01 8.422458692304176653e-01 3.104295712115165071e-02 1.369364757303200703e-02
2.640790774456497902e-01 8.171614955637903632e-01 3.166596098319841152e-02 1.377653869549152858e-02
2.664590391290024285e-01 8.619568706831621796e-01 3.183249554929309943e-02 1.387897730991453048e-02
2.687787537700589979e-01 8.112441419955599420e-01 3.810433786754411495e-02 1.397894139279252761e-02
2.708576078965127532e-01 8.248160587007991040e-01 3.893445452045454780e-02 1.406867436953476193e-02
2.725435426407841755e-01 9.335382005996379906e-01 6.580114843493649335e-02 1.414150671297362619e-02
2.743252693361043493e-01 8.602925988236441723e-01 4.235395320862336832e-02 1.421861353937933954e-02
2.768615972602936903e-01 8.195331426524312679e-01 3.857672834912745374e-02 1.432847986879429505e-02
2.791367167227155610e-01 8.239125199906222052e-01 2.066685506714639048e-02 1.442713767544314719e-02
2.806598611875086857e-01 8.462762702014808847e-01 2.412913739582282432e-02 1.449329850784893126e-02
2.826458191931962571e-01 8.902914875517197180e-01 2.691206150274193590e-02 1.457962801770323891e-02
2.848042113359360861e-01 8.323815347460841174e-01 2.793638053741511959e-02 1.467354614768761993e-02
2.866699426367564363e-01 8.252395483161233392e-01 3.435667835984658469e-02 1.475481981608948480e-02
2.886898577151794099e-01 8.502699089923451137e-01 2.984501699692644269e-02 1.484292760313089821e-02
2.908588437550740924e-01 8.196401934754650176e-01 3.223392778902279404e-02 1.493760337206722667e-02
2.928934021391756404e-01 8.482554694769121051e-01 3.730186222514669803e-02 1.502652288381440410e-02
2.950336163822630531e-01 8.312578707303215353e-01 3.337035504251265744e-02 1.512016871794299132e-02
2.967585095350229740e-01 8.494744824737194833e-01 4.438631865019510014e-02 1.519568998100236622e-02
2.990014462134046314e-01 8.191295915831093843e-01 1.681913417101624925e-02 1.529402642214406846e-02
3.011798014980647809e-01 8.409360427478894673e-01 2.253885808789710121e-02 1.538962084295856896e-02
3.033758135987661975e-01 8.218544945043667616e-01 2.591278201168080789e-02 1.548607962178085405e-02
3.055232717276123999e-01 8.826618656886109360e-01 2.743728478181590297e-02 1.558049545194516682e-02
3.074720852181792585e-01 8.281967667789884580e-01 3.397916201588931095e-02 1.566625769326764755e-02
3.094612068699854612e-01 7.994489845709138454e-01 2.547178566186879614e-02 1.575389057119479241e-02
3.116186881196104097e-01 8.613047800109094876e-01 3.443615163893001818e-02 1.584899589662705846e-02
3.136417961614381134e-01 8.361199463810269350e-01 3.154532092360927409e-02 1.593827174458830112e-02
3.154816449970307968e-01 8.467403716927585089e-01 4.074540186370757822e-02 1.601952102933696179e-02
3.178056502169329667e-01 8.364901994455797851e-01 1.812208750308449620e-02 1.612225985704623249e-02
3.196092679827952088e-01 8.410627296107348050e-01 2.062147532285873650e-02 1.620205633752427529e-02
3.217617832126760113e-01 8.291992627818338679e-01 2.133216191307082954e-02 1.629734768060140532e-02
3.239178970458160278e-01 8.511721867930014396e-01 2.835793529820049286e-02 1.639288825371133448e-02
3.260824783360504742e-01 8.127105637126476045e-01 2.236786809411259180e-02 1.648887543557783775e-02
3.279034699154102506e-01 8.366083581791377011e-01 3.553962707787963055e-02 1.656968079388889889e-02
3.298957192007562211e-01 8.390449710671237238e-01 2.803822151336752416e-02 1.665817369165657064e-02
3.318465186581164295e-01 8.265478338483637222e-01 2.791447812286966187e-02 1.674486626303843886e-02
3.340068915824193074e-01 8.684190043489321553e-01 3.279655301244787519e-02 1.684094851067652679e-02
3.357511516624527292e-01 7.898345832613563600e-01 3.105086566385155053e-02 1.691856810721134585e-02
3.378027617234616864e-01 8.368579869246643987e-01 1.509064547093921446e-02 1.700996283215742630e-02
3.401694075825483221e-01 8.259248970552477420e-01 2.288090375391681891e-02 1.711543595816483743e-02
