# sample_name: ludox_TM50
# config_id: config_9
# transmission: 0.606994
# source_nexus_file: sans-llb2026n000989.nxs
# q I I_error q_error
5.969542390185473418e-02 2.740369189693656060e-01 8.688180471962601154e-03 3.728708816355242803e-03
6.034226396181534974e-02 2.719893211793900090e-01 1.312805286445321157e-02 3.751992722689216197e-03
6.089812617988303589e-02 2.383247803134006526e-01 1.448763839228432715e-02 3.772082523444484324e-03
6.144077182435274398e-02 2.246364258515278212e-01 1.447520126800313188e-02 3.791773561501954326e-03
6.192777626093420168e-02 2.854362698425607081e-01 2.392521460675161790e-02 3.809501023692667479e-03
6.241384031234069318e-02 2.319424359159051319e-01 1.478657256153740121e-02 3.827267832727780476e-03
6.293363865535542279e-02 1.807015556903382725e-01 1.750315255042428006e-02 3.846303775129808131e-03
6.356472737067683787e-02 2.181112952935759797e-01 1.416431637249385839e-02 3.869523671094588033e-03
6.424007360968177205e-02 2.060138160846970434e-01 1.885065185548001274e-02 3.894454843957826252e-03
6.461772245468716536e-02 1.547721147037854350e-01 1.598328676001489757e-02 3.908445790583208249e-03
6.516237269409848321e-02 2.494038679515730161e-01 2.136892938986681770e-02 3.928679398000283797e-03
6.576867563326783961e-02 1.986694327275544403e-01 9.965097646509135307e-03 3.951283521140402412e-03
6.614191705908580021e-02 2.076908995780899769e-01 8.314624370746630938e-03 3.965237914863663053e-03
6.671536920778201041e-02 2.027112962611171132e-01 1.033289172884677143e-02 3.986732565793042402e-03
6.727331130772147560e-02 2.104108107089150970e-01 1.205329080590672453e-02 4.007708284851325270e-03
6.778236575834388489e-02 1.736639801363466795e-01 1.059486379716664817e-02 4.026906844998821150e-03
6.829754652689057348e-02 1.598542001168232196e-01 1.220837767402237727e-02 4.046381631550304177e-03
6.879209896383409184e-02 1.516745924681859314e-01 9.715090085293308017e-03 4.065135872011516917e-03
6.943037669345879237e-02 1.974644844342389183e-01 1.369975866748516027e-02 4.089405761267427518e-03
6.993400476234450103e-02 1.678935839830114352e-01 1.025484985406354028e-02 4.108621298132694548e-03
7.045625993403653586e-02 1.383186040329569544e-01 1.658825225726874228e-02 4.128578615099585784e-03
7.086310683634433616e-02 1.576723209662387881e-01 1.185353757520554024e-02 4.144172411626614524e-03
7.131911912305163859e-02 1.642702439554853955e-01 1.247826310124014113e-02 4.161682371601320776e-03
7.213632538159334140e-02 1.490723883749902057e-01 5.880375677368796655e-03 4.193165163916839737e-03
7.258774424267358527e-02 1.470591739752366289e-01 7.413382744069512212e-03 4.210606271570300520e-03
7.311107252867139750e-02 1.279813495560017944e-01 6.930487203169223565e-03 4.230874139803419628e-03
7.367557320495204953e-02 1.598496438802943231e-01 8.741415371390431205e-03 4.252784799502563884e-03
7.419537079891397324e-02 1.289776875977784454e-01 7.679248359431380122e-03 4.273006825800634671e-03
7.481695162658472120e-02 1.255976039280472523e-01 9.038085319050547656e-03 4.297249660150490209e-03
7.529751382175978169e-02 1.225175345752200218e-01 7.518459457612296920e-03 4.316045087796979013e-03
7.562206053925574212e-02 1.447585536153749575e-01 1.614467724513474547e-02 4.328746633271656971e-03
7.620275767932808975e-02 1.363419377970184199e-01 8.031802243794905483e-03 4.351536214985947913e-03
7.678190082729043076e-02 1.379940704506258664e-01 9.369636160756355039e-03 4.374314120956173703e-03
7.725637191141274118e-02 1.383460283491295406e-01 1.121618002966527812e-02 4.393014528911349387e-03
7.783203267950795923e-02 1.390852388353460145e-01 8.172099782845269889e-03 4.415754596014063657e-03
7.850126671240996445e-02 1.384388284992490170e-01 5.632473781596145264e-03 4.442249004572643156e-03
7.899060204531639651e-02 1.380250501338351199e-01 6.917059337795051187e-03 4.461669171612414088e-03
7.942879981670053491e-02 1.484697710183124353e-01 8.857264042727568121e-03 4.479085291302298093e-03
7.996117585066947475e-02 1.192185545391828416e-01 6.229360537055216029e-03 4.500287477727153360e-03
8.056201434338908229e-02 1.163784114303753059e-01 7.575824863905228704e-03 4.524262478274599861e-03
8.103404617568950308e-02 1.174771502507955812e-01 7.503577043220342226e-03 4.543136107809996743e-03
8.160201917376426473e-02 1.252048084371117087e-01 6.994193741875648698e-03 4.565886609201848592e-03
8.214930817199180002e-02 1.277324840750723445e-01 9.220920057448832655e-03 4.587848375297345557e-03
8.265989358431100054e-02 1.393523007400296887e-01 8.324985149886207636e-03 4.608375685183282132e-03
8.318256493928398443e-02 1.098177116253960667e-01 7.286888033699355852e-03 4.629424185943259093e-03
8.378183228181233788e-02 1.216195751649441353e-01 9.110098191634634010e-03 4.653610455025655908e-03
8.425758210438737128e-02 1.142786348835735655e-01 7.349833285694867997e-03 4.672838404493176272e-03
8.479028360015422594e-02 9.677163418960590957e-02 4.370688986550948750e-03 4.694402303194292018e-03
8.533893583465047838e-02 1.206217516376994064e-01 5.846675300881761309e-03 4.716657594717357793e-03
8.582221861979920374e-02 1.077700340220238279e-01 5.781401395111601671e-03 4.736287882356883354e-03
8.642451277825077827e-02 1.056741540939807322e-01 5.482044172925791894e-03 4.760792953274972650e-03
8.705900607264868696e-02 1.199527110574288430e-01 6.966103481620305668e-03 4.786655306720043364e-03
8.762881889752739684e-02 1.014465218045553924e-01 5.772700488784438672e-03 4.809924782930542590e-03
8.818093917320958541e-02 1.108961092884337418e-01 8.552838992533862497e-03 4.832507070038710717e-03
8.855176132118638965e-02 9.144977679474911025e-02 5.867331145995961783e-03 4.847701585614808649e-03
8.916795901954985282e-02 9.620664097377530644e-02 6.802789674858998603e-03 4.872969442000375101e-03
8.963170233363071393e-02 9.694074972912586352e-02 6.255525783110595095e-03 4.892023421563236260e-03
9.014804818518762364e-02 9.959472647810196921e-02 8.312048461660623624e-03 4.913258494425348961e-03
9.069986081900453800e-02 1.129383609192860793e-01 6.858099042112077159e-03 4.935993562287690865e-03
9.113098358908745811e-02 1.022373937554477835e-01 4.218185240252727598e-03 4.953771955817833778e-03
9.178799028746870148e-02 1.078372571685408399e-01 5.059695989875992277e-03 4.980909950490638831e-03
9.235762557739379819e-02 9.386364952025690045e-02 5.648542730170666437e-03 5.004476771054033879e-03
9.282473719851348781e-02 9.771123765705870545e-02 5.683799793772564835e-03 5.023827820538003669e-03
9.343214520791595645e-02 9.519703635779794282e-02 5.230081333837655576e-03 5.049022075276491002e-03
9.395062828396515131e-02 9.654597879813836547e-02 6.960978620064839362e-03 5.070561117692011857e-03
9.434773594118193996e-02 9.119860805262446080e-02 6.083566356285326215e-03 5.087075289670762133e-03
9.493360445887956411e-02 8.823578747079140194e-02 5.362267411784919086e-03 5.111470317781685417e-03
