sample_name,config_id,mode,entity,thickness,transmission,file_path
EB,config_9,transmission,empty_beam,,,sans-llb2026n000975.nxs
Cd,config_9,scattering,dark,,,sans-llb2026n000982.nxs
EB,config_9,scattering,empty_beam,,,sans-llb2026n000983.nxs
EC,config_9,scattering,empty_cell,,0.948124,sans-llb2026n000985.nxs
H2O,config_9,scattering,water,1,0.525612,sans-llb2026n000986.nxs
EB,config_10,transmission,empty_beam,,,sans-llb2026n000991.nxs
Cd,config_10,scattering,dark,,,sans-llb2026n000998.nxs
EB,config_10,scattering,empty_beam,,,sans-llb2026n000999.nxs
EC,config_10,scattering,empty_cell,,0.942167,sans-llb2026n001001.nxs
H2O,config_10,scattering,water,1,0.530197,sans-llb2026n001002.nxs
AgBe,config_9,scattering,sample,1,0.770603,sans-llb2026n000984.nxs
ludox_AM20,config_9,scattering,sample,1,0.547647,sans-llb2026n000987.nxs
ludox_SM30,config_9,scattering,sample,1,0.551253,sans-llb2026n000988.nxs
ludox_TM50,config_9,scattering,sample,1,0.561255,sans-llb2026n000989.nxs
AgBe,config_10,scattering,sample,1,0.77456,sans-llb2026n001000.nxs
ludox_AM20,config_10,scattering,sample,1,0.551617,sans-llb2026n001003.nxs
ludox_SM30,config_10,scattering,sample,1,0.556864,sans-llb2026n001004.nxs
ludox_TM50,config_10,scattering,sample,1,0.56986,sans-llb2026n001005.nxs
