sample_name,config_id,mode,entity,thickness,transmission,file_path
H2O,config_1,scattering,water,1,,sans-llb2026n000902.nxs
H2O,config_2,scattering,water,1,,sans-llb2026n000903.nxs
H2O,config_3,scattering,water,1,,sans-llb2026n000904.nxs
H2O,config_4,scattering,water,1,,sans-llb2026n000905.nxs
EB,config_5,scattering,sample,0,,sans-llb2026n000908.nxs
EB,config_5,scattering,sample,0,,sans-llb2026n000909.nxs
EB,config_5,scattering,sample,0,,sans-llb2026n000910.nxs
EB,config_5,scattering,sample,0,,sans-llb2026n000911.nxs
EB,config_5,scattering,sample,0,,sans-llb2026n000912.nxs
EB,config_5,scattering,sample,0,,sans-llb2026n000913.nxs
EB,config_5,scattering,sample,0,,sans-llb2026n000914.nxs
EB,config_5,scattering,sample,0,,sans-llb2026n000915.nxs
EB,config_5,scattering,sample,0,,sans-llb2026n000916.nxs
EB,config_5,scattering,sample,0,,sans-llb2026n000917.nxs
EB,config_5,scattering,sample,0,,sans-llb2026n000918.nxs
EB,config_5,scattering,sample,0,,sans-llb2026n000919.nxs
EB,config_5,scattering,sample,0,,sans-llb2026n000920.nxs
EB,config_5,scattering,sample,0,,sans-llb2026n000921.nxs
EB,config_5,scattering,sample,0,,sans-llb2026n000922.nxs
EB,config_5,scattering,sample,0,,sans-llb2026n000923.nxs
EB,config_5,scattering,sample,0,,sans-llb2026n000924.nxs
teflon,config_6,transmission,sample,1,,sans-llb2026n000932.nxs
teflon,config_6,transmission,sample,1,,sans-llb2026n000933.nxs
teflon,config_6,transmission,sample,1,,sans-llb2026n000934.nxs
teflon,config_6,transmission,sample,1,,sans-llb2026n000935.nxs
H2O,config_6,transmission,water,1,,sans-llb2026n000936.nxs
H2O,config_6,transmission,water,1,,sans-llb2026n000937.nxs
H2O,config_6,scattering,water,1,,sans-llb2026n000938.nxs
H2O,config_6,scattering,water,1,,sans-llb2026n000939.nxs
H2O,config_6,scattering,water,1,,sans-llb2026n000940.nxs
H2O,config_6,transmission,water,1,,sans-llb2026n000941.nxs
H2O,config_6,transmission,water,1,,sans-llb2026n000942.nxs
H2O,config_6,transmission,water,1,,sans-llb2026n000943.nxs
Teflon,config_7,scattering,sample,1,,sans-llb2026n000947.nxs
Teflon,config_7,scattering,sample,1,,sans-llb2026n000948.nxs
Teflon,config_7,scattering,sample,1,,sans-llb2026n000949.nxs
Teflon,config_7,scattering,sample,1,,sans-llb2026n000950.nxs
Teflon,config_7,scattering,sample,1,,sans-llb2026n000951.nxs
Cd,config_7,scattering,dark,,,sans-llb2026n000952.nxs
AgBe,config_7,scattering,sample,1,,sans-llb2026n000953.nxs
AgBe,config_7,scattering,sample,1,,sans-llb2026n000954.nxs
EB,config_7,scattering,sample,0,,sans-llb2026n000955.nxs
EB,config_7,scattering,sample,0,,sans-llb2026n000956.nxs
EB,config_7,scattering,sample,0,,sans-llb2026n000957.nxs
EB,config_7,scattering,sample,0,,sans-llb2026n000958.nxs
AgBe,config_7,scattering,sample,1,,sans-llb2026n000959.nxs
AgBe,config_7,scattering,sample,1,,sans-llb2026n000960.nxs
ludox_TM50,config_7,scattering,sample,1,,sans-llb2026n000961.nxs
ludox_TM50,config_7,scattering,sample,1,,sans-llb2026n000962.nxs
EB,config_7,scattering,sample,0,,sans-llb2026n000963.nxs
EB,config_7,scattering,sample,0,,sans-llb2026n000964.nxs
