# Q I dI dQ
1.377849999999999908e-03 6.603140000000000498e+01 2.261659999999999968e+02 3.966390000000000085e-04
1.474199999999999946e-03 2.098600000000000136e+02 1.728120000000000118e+02 3.968949999999999735e-04
1.776259999999999992e-03 5.155570000000000164e+01 9.340500000000000114e+01 3.974219999999999771e-04
1.875659999999999914e-03 8.718410000000000082e+01 8.174089999999999634e+01 3.981650000000000206e-04
1.976789999999999971e-03 7.325620000000000687e+01 6.882450000000000045e+01 3.995690000000000092e-04
2.078169999999999844e-03 1.126320000000000050e+02 5.721840000000000259e+01 4.006810000000000081e-04
2.178770000000000012e-03 9.164809999999999945e+01 5.000589999999999691e+01 4.015749999999999897e-04
2.278790000000000156e-03 3.599170000000000158e+01 4.814869999999999806e+01 4.023119999999999930e-04
2.378480000000000091e-03 3.114849999999999852e+01 4.319080000000000297e+01 4.029300000000000199e-04
2.479390000000000153e-03 3.823830000000000240e+01 3.940509999999999735e+01 4.034630000000000096e-04
2.581159999999999878e-03 2.388210000000000122e+01 3.934590000000000032e+01 4.039280000000000127e-04
2.682560000000000066e-03 6.600130000000000052e+01 3.563430000000000319e+01 4.043299999999999997e-04
2.782460000000000055e-03 5.531539999999999679e+01 3.289439999999999742e+01 4.051300000000000192e-04
2.883189999999999885e-03 5.824119999999999919e+01 3.024210000000000065e+01 4.068100000000000166e-04
2.984860000000000204e-03 4.020309999999999917e+01 2.927809999999999846e+01 4.082569999999999776e-04
3.084809999999999896e-03 1.560810000000000031e+01 3.006889999999999930e+01 4.094859999999999754e-04
3.185250000000000147e-03 3.010350000000000037e+01 2.713479999999999848e+01 4.105639999999999810e-04
3.286199999999999972e-03 3.810949999999999704e+01 2.556230000000000047e+01 4.115179999999999858e-04
3.387770000000000017e-03 3.774849999999999994e+01 2.300979999999999848e+01 4.123689999999999951e-04
3.489120000000000069e-03 2.647299999999999898e+01 2.445390000000000086e+01 4.131259999999999880e-04
3.587700000000000090e-03 4.433239999999999981e+01 2.368309999999999960e+01 4.137890000000000188e-04
3.687970000000000050e-03 5.846209999999999951e+01 2.057140000000000057e+01 4.146609999999999793e-04
3.788699999999999880e-03 5.027830000000000155e+01 1.882870000000000132e+01 4.166080000000000065e-04
3.889420000000000203e-03 3.874080000000000013e+01 1.889849999999999852e+01 4.183360000000000008e-04
3.990160000000000408e-03 5.061529999999999774e+01 1.842490000000000094e+01 4.198790000000000096e-04
4.090319999999999720e-03 5.157489999999999952e+01 1.991090000000000160e+01 4.212579999999999840e-04
4.191420000000000388e-03 4.851129999999999853e+01 2.064880000000000138e+01 4.225170000000000206e-04
4.292240000000000118e-03 5.568580000000000041e+01 2.110010000000000119e+01 4.236549999999999951e-04
4.393089999999999669e-03 6.741119999999999379e+01 1.976989999999999981e+01 4.246939999999999830e-04
4.493490000000000158e-03 7.433769999999999811e+01 1.999749999999999872e+01 4.256420000000000017e-04
4.594189999999999732e-03 6.557859999999999445e+01 2.057019999999999982e+01 4.266049999999999855e-04
4.695870000000000426e-03 7.033629999999999427e+01 2.134619999999999962e+01 4.288159999999999954e-04
4.796609999999999763e-03 8.713320000000000221e+01 1.950740000000000052e+01 4.308040000000000177e-04
4.896690000000000417e-03 9.038469999999999516e+01 1.766290000000000049e+01 4.326050000000000229e-04
4.997749999999999589e-03 1.126790000000000020e+02 1.777860000000000085e+01 4.342700000000000011e-04
5.099549999999999569e-03 1.227270000000000039e+02 1.915830000000000055e+01 4.358109999999999784e-04
5.201080000000000286e-03 1.395060000000000002e+02 2.075949999999999918e+01 4.372269999999999933e-04
5.301069999999999741e-03 1.755589999999999975e+02 2.102299999999999969e+01 4.385179999999999916e-04
5.400740000000000228e-03 2.111889999999999930e+02 2.191939999999999955e+01 4.397119999999999805e-04
5.501759999999999637e-03 2.717900000000000205e+02 2.311410000000000053e+01 4.408379999999999829e-04
5.602069999999999793e-03 3.435500000000000114e+02 2.487559999999999860e+01 4.431829999999999884e-04
5.701949999999999900e-03 4.582350000000000136e+02 2.757140000000000057e+01 4.453869999999999964e-04
5.803159999999999916e-03 6.104779999999999518e+02 3.112069999999999936e+01 4.474510000000000228e-04
5.904320000000000228e-03 8.153559999999999945e+02 3.439209999999999923e+01 4.493640000000000026e-04
6.005159999999999838e-03 1.110269999999999982e+03 3.890630000000000166e+01 4.511380000000000164e-04
6.105389999999999602e-03 1.416910000000000082e+03 4.351039999999999708e+01 4.527809999999999734e-04
6.205330000000000221e-03 1.770170000000000073e+03 4.821000000000000085e+01 4.543130000000000258e-04
6.306220000000000402e-03 2.292139999999999873e+03 5.385159999999999769e+01 4.557610000000000025e-04
6.407060000000000012e-03 2.660679999999999836e+03 5.775619999999999976e+01 4.571199999999999873e-04
6.508090000000000229e-03 3.142690000000000055e+03 6.169740000000000180e+01 4.595150000000000211e-04
6.608799999999999744e-03 3.589659999999999854e+03 6.551869999999999550e+01 4.619439999999999939e-04
6.709510000000000127e-03 3.855139999999999873e+03 6.759080000000000155e+01 4.642129999999999954e-04
6.811099999999999620e-03 4.139020000000000437e+03 6.820919999999999561e+01 4.663539999999999873e-04
6.911139999999999645e-03 4.412779999999999745e+03 7.309159999999999968e+01 4.683320000000000148e-04
7.011479999999999622e-03 4.286939999999999600e+03 6.844650000000000034e+01 4.701969999999999978e-04
7.112519999999999780e-03 4.194880000000000109e+03 6.919849999999999568e+01 4.719659999999999871e-04
7.213149999999999770e-03 3.908849999999999909e+03 6.501489999999999725e+01 4.736280000000000264e-04
7.314389999999999607e-03 3.396789999999999964e+03 5.955210000000000292e+01 4.752080000000000214e-04
7.414389999999999870e-03 3.052989999999999782e+03 5.711350000000000193e+01 4.776199999999999977e-04
7.514840000000000061e-03 2.618010000000000218e+03 5.171920000000000073e+01 4.802259999999999927e-04
7.616089999999999839e-03 2.147300000000000182e+03 4.728090000000000259e+01 4.826969999999999763e-04
7.716589999999999734e-03 1.767450000000000045e+03 4.312049999999999983e+01 4.850090000000000044e-04
7.817009999999999237e-03 1.362339999999999918e+03 3.736129999999999995e+01 4.871909999999999913e-04
7.917240000000000735e-03 1.005850000000000023e+03 3.240370000000000061e+01 4.892520000000000245e-04
8.017979999999999205e-03 7.339800000000000182e+02 2.733640000000000114e+01 4.912140000000000169e-04
8.119029999999999303e-03 5.419510000000000218e+02 2.473860000000000170e+01 4.930810000000000314e-04
8.219640000000000279e-03 4.027359999999999900e+02 2.190830000000000055e+01 4.948469999999999735e-04
8.320640000000000674e-03 2.952259999999999991e+02 1.928490000000000038e+01 4.972969999999999518e-04
8.421349999999999322e-03 2.460960000000000036e+02 1.813820000000000121e+01 5.000690000000000126e-04
8.522089999999999527e-03 1.837570000000000050e+02 1.629309999999999903e+01 5.026950000000000515e-04
8.622640000000000859e-03 1.402829999999999870e+02 1.473399999999999999e+01 5.051790000000000230e-04
8.722739999999999660e-03 1.294099999999999966e+02 1.398509999999999920e+01 5.075280000000000373e-04
8.823980000000000365e-03 9.763230000000000075e+01 1.383980000000000032e+01 5.097860000000000282e-04
8.925129999999999869e-03 7.880169999999999675e+01 1.348770000000000024e+01 5.119330000000000061e-04
9.026229999999999670e-03 6.625039999999999907e+01 1.335500000000000043e+01 5.139780000000000043e-04
9.126840000000000647e-03 6.016230000000000189e+01 1.283060000000000045e+01 5.159200000000000071e-04
9.226989999999999151e-03 5.123360000000000269e+01 1.197460000000000058e+01 5.183689999999999696e-04
9.327999999999999486e-03 5.126409999999999911e+01 1.107450000000000045e+01 5.212910000000000070e-04
9.428620000000000403e-03 5.249730000000000274e+01 1.116440000000000055e+01 5.240590000000000049e-04
9.528790000000000524e-03 5.734369999999999834e+01 1.156709999999999994e+01 5.266830000000000123e-04
9.629489999999999231e-03 5.510220000000000340e+01 1.079010000000000069e+01 5.291999999999999612e-04
9.730569999999999151e-03 4.653029999999999688e+01 1.042409999999999926e+01 5.316109999999999759e-04
9.831350000000000852e-03 4.196589999999999776e+01 1.123939999999999984e+01 5.339080000000000388e-04
9.931950000000000153e-03 4.457999999999999829e+01 1.143870000000000076e+01 5.361019999999999978e-04
1.003259999999999916e-02 4.103659999999999997e+01 1.185689999999999955e+01 5.382030000000000104e-04
1.013359999999999955e-02 4.243610000000000326e+01 1.160420000000000051e+01 5.406799999999999801e-04
1.023420000000000059e-02 4.775710000000000122e+01 1.113790000000000013e+01 5.437109999999999990e-04
1.026610000000000023e-02 5.045037465965747714e+01 1.119068463073852193e+01 5.446291596806387535e-04
1.033440000000000053e-02 6.631378581868398214e+01 1.107221024778263008e+01 5.921519741897592060e-04
1.043499999999999983e-02 8.503567607467290657e+01 1.125786191195096109e+01 6.613509003715457683e-04
1.053560000000000087e-02 1.088135599343926572e+02 1.085123899770869116e+01 7.296543612816655446e-04
1.063670000000000067e-02 1.149824095360797855e+02 1.043724080910656582e+01 7.974251145470594897e-04
1.073759999999999992e-02 1.173189890048452213e+02 1.065719674900141811e+01 8.642200136952955108e-04
1.075760000000000084e-02 1.197699206246545316e+02 1.055482700759966974e+01 8.773562962631912057e-04
1.083779999999999986e-02 1.430283745846264196e+02 1.015067903428780838e+01 9.297432265329660158e-04
1.093850000000000031e-02 1.664026015827329275e+02 9.942271615325068979e+00 9.948073418480102986e-04
1.103930000000000015e-02 1.816116448853187819e+02 1.036621217520523430e+01 1.059413337760913790e-03
1.114019999999999941e-02 2.002014884375172130e+02 1.030902133553776601e+01 1.123891773531443452e-03
1.124080000000000044e-02 2.034778364136049618e+02 9.962546658691291412e+00 1.187366701834840273e-03
1.124700000000000005e-02 2.037361710198501612e+02 9.946488282607468534e+00 1.191250164385406363e-03
1.134149999999999915e-02 2.091019178310016855e+02 9.700366327895487473e+00 1.250109557872199940e-03
