# Q I dI dQ
6.000000000000000125e-03 1.016422138074134729e+00 1.016409634676888017e-02 7.199999999999999369e-04
6.140966867450983746e-03 1.019097263764043859e+00 1.016061824405305875e-02 7.369160240941179801e-04
6.285245677855121060e-03 1.012896134316626950e+00 1.015680499054066009e-02 7.542294813426144535e-04
6.432914243582962474e-03 1.006220620567586099e+00 1.015262465224844521e-02 7.719497092299554362e-04
6.584052205166075929e-03 1.010190214169218725e+00 1.014804232541270147e-02 7.900862646199291158e-04
6.738741074248739450e-03 1.004243696787388229e+00 1.014301987503729574e-02 8.086489289098486993e-04
6.897064277548762244e-03 1.014361272054321361e+00 1.013751565341537014e-02 8.276477133058514910e-04
7.059107201851113310e-03 1.026726789353345826e+00 1.013148419771473831e-02 8.470928642221335538e-04
7.224957240058714827e-03 1.007504060661635226e+00 1.012487590582003202e-02 8.669948688070457836e-04
7.394703838325107116e-03 1.005485929365508735e+00 1.011763668977008410e-02 8.873644605990127845e-04
7.568438544294512488e-03 1.015922920533312679e+00 1.010970760632656784e-02 9.082126253153414291e-04
7.746255056475254662e-03 1.013707370847416911e+00 1.010102446446940749e-02 9.295506067770305464e-04
7.928249274773193842e-03 1.010215530723814537e+00 1.009151740994795703e-02 9.513899129727832783e-04
8.114519352212407402e-03 9.987308975800253119e-01 1.008111048743758759e-02 9.737423222654888058e-04
8.305165747871030499e-03 1.006677560441146868e+00 1.006972118137399244e-02 9.966198897445235211e-04
8.500291281060789322e-03 1.012718838679645739e+00 1.005725993717828184e-02 1.020034953727294580e-03
8.700001186779460563e-03 9.908621734325012698e-01 1.004362966536225324e-02 1.044000142413535181e-03
8.904403172466145502e-03 9.982832204640801343e-01 1.002872523193354577e-02 1.068528380695937460e-03
9.113607476090008694e-03 9.822074287768086664e-01 1.001243293962351955e-02 1.093632897130801052e-03
9.327726925603714928e-03 9.865745479879197699e-01 9.994630005755286012e-03 1.119327231072445722e-03
9.546876999793800847e-03 9.791467584448663164e-01 9.975184044072557890e-03 1.145625239975255972e-03
9.771175890560592284e-03 9.930551699918210851e-01 9.953952559577159201e-03 1.172541106867270927e-03
1.000074456666140421e-02 9.804915114421159927e-01 9.930782467383846013e-03 1.200089347999368358e-03
1.023570683895134829e-02 9.932379766037410240e-01 9.905509648800570402e-03 1.228284820674161717e-03
1.047618942715693863e-02 9.893442367653819680e-01 9.877958560274300095e-03 1.257142731258832505e-03
1.072232202821850507e-02 9.829533062644758568e-01 9.847941913490254606e-03 1.286678643386220469e-03
1.097423738623827180e-02 9.568233927280835882e-01 9.815260447741700617e-03 1.316908486348592573e-03
1.123207136407185051e-02 9.727020254325683402e-01 9.779702818644635948e-03 1.347848563688622053e-03
1.149596301660169538e-02 9.736321131055259981e-01 9.741045630277894371e-03 1.379515561992203420e-03
1.176605466573213930e-02 9.710043540108708182e-01 9.699053640776427593e-03 1.411926559887856760e-03
1.204249197714634713e-02 9.505768821391605838e-01 9.653480174152281879e-03 1.445099037257561655e-03
1.232542403886666138e-02 9.558184025065095124e-01 9.604067773485441481e-03 1.479050884663999374e-03
1.261500344166067468e-02 9.457095187077885212e-01 9.550549132397568794e-03 1.513800412999280866e-03
1.291138636133638135e-02 9.415868267836617900e-01 9.492648342639603554e-03 1.549366363360365605e-03
1.321473264297086392e-02 9.530126110774417292e-01 9.430082495396584219e-03 1.585767917156503601e-03
1.352520588711783427e-02 9.286957724067279596e-01 9.362563672220488437e-03 1.623024706454140017e-03
1.384297353804059272e-02 9.286780156220192373e-01 9.289801358007868451e-03 1.661156824564871031e-03
1.416820697401799216e-02 9.292970922342426165e-01 9.211505302810903129e-03 1.700184836882159042e-03
1.450108159977206608e-02 9.074121370368438688e-01 9.127388851202218253e-03 1.740129791972647817e-03
1.484177694106722685e-02 9.027078049012118299e-01 9.037172747157982619e-03 1.781013232928067153e-03
1.519047674153196741e-02 8.950465554319798622e-01 8.940589408827883527e-03 1.822857208983836089e-03
1.554736906175542208e-02 8.843024293748737996e-01 8.837387651107064465e-03 1.865684287410650666e-03
1.591264638071207896e-02 8.620423054381542993e-01 8.727337814772568800e-03 1.909517565685449336e-03
