# Q I dI dQ
4.932978283262305294e-03 5.745166990215270886e+00 8.695383853830025433e-01 5.673093366877461283e-03
5.353185808364799465e-03 4.543446168068779656e+00 8.667318876249077153e-01 5.673947131684772827e-03
5.651850993144589066e-03 4.876496876438724648e+00 5.934613578680232315e-01 5.674595682231798992e-03
6.029162238379073661e-03 6.036052786104066925e+00 7.038576594129654085e-01 5.675468425891730222e-03
6.392309602992736137e-03 4.813991996983541632e+00 4.869613313227676987e-01 5.676359310868485213e-03
6.687163922328937492e-03 5.171568791480532390e+00 5.752314304771843911e-01 5.677121853556452331e-03
7.032461424647461559e-03 4.745176299420652555e+00 3.332934492280824057e-01 5.678058730217641278e-03
7.354238702689045760e-03 5.125103645856038170e+00 3.944363661634228690e-01 5.678971686739922413e-03
7.695289130432875560e-03 5.510487235623077851e+00 4.535395572116255880e-01 5.679985026271734162e-03
8.050111978813709324e-03 4.523495667474353610e+00 2.531324310958877333e-01 5.681088743100983461e-03
8.389385469566267017e-03 4.699859169458410868e+00 2.637051231991152100e-01 5.682190517291559571e-03
8.752442946748649130e-03 4.885946036809038162e+00 2.814168781819411658e-01 5.683418224787307668e-03
9.101497594975110905e-03 5.014105463977021060e+00 2.850117368877277957e-01 5.684648666873685224e-03
9.428720281188695401e-03 4.685658869493516399e+00 2.356653432553539318e-01 5.685844089119021852e-03
9.746520921578103597e-03 4.745149387163336563e+00 2.275838201938757688e-01 5.687046201157925675e-03
1.011071326604861056e-02 4.716573280581855876e+00 2.308030927198401472e-01 5.688473025554741797e-03
1.044613994595451796e-02 4.742306734624739839e+00 2.180472246672148229e-01 5.689831849484269614e-03
1.081383447107065431e-02 4.616776001585422229e+00 1.995652979739596655e-01 5.691373164404318723e-03
1.115334743979995262e-02 4.364031445052358293e+00 1.709181964913313312e-01 5.692842588466757135e-03
1.148730745962579965e-02 4.220845156791315667e+00 1.828936132555606386e-01 5.694332211070581018e-03
1.182532244192137198e-02 4.306603757797479837e+00 1.630000959555888973e-01 5.695884507140600364e-03
1.215335274439132904e-02 4.237178245601663562e+00 1.638815538296608532e-01 5.697433357362782606e-03
1.251484396103368438e-02 4.084805091223349116e+00 1.419327473008702989e-01 5.699188512674168740e-03
